25.0, Private, 7.0, 0, Machine-op-inspct, Own-child, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
23.0, Private, 10.0, 0, Adm-clerical, Own-child, White, Male, 0.0, 0.0, 24.0, 1, <=50K
20.0, ?, 3.0, 0, ?, Not-in-family, White, Male, 0.0, 0.0, 25.0, 0, <=50K
50.0, ?, 9.0, 0, ?, Unmarried, Asian-Pac-Islander, Female, 0.0, 0.0, 40.0, 0, <=50K
35.0, Private, 9.0, 0, Machine-op-inspct, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
37.0, Private, 9.0, 1, Handlers-cleaners, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
31.0, Federal-gov, 9.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
24.0, Private, 13.0, 0, Tech-support, Own-child, White, Male, 0.0, 0.0, 42.0, 1, <=50K
57.0, Private, 4.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
18.0, ?, 9.0, 0, ?, Own-child, White, Male, 0.0, 0.0, 30.0, 1, <=50K
35.0, Private, 9.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
23.0, Private, 9.0, 0, Other-service, Not-in-family, White, Male, 0.0, 0.0, 40.0, 0, <=50K
41.0, Private, 9.0, 1, Exec-managerial, Husband, White, Male, 15024.0, 0.0, 65.0, 1, >50K
57.0, State-gov, 10.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 40.0, 1, >50K
27.0, ?, 13.0, 1, ?, Not-in-family, White, Male, 0.0, 0.0, 50.0, 0, <=50K
37.0, Private, 13.0, 1, Farming-fishing, Husband, White, Male, 0.0, 0.0, 45.0, 1, <=50K
45.0, Private, 10.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
28.0, Federal-gov, 13.0, 1, Exec-managerial, Husband, White, Male, 5178.0, 0.0, 40.0, 1, >50K
33.0, Private, 9.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 48.0, 1, <=50K
31.0, Local-gov, 10.0, 1, Protective-serv, Husband, White, Male, 0.0, 0.0, 30.0, 1, <=50K
41.0, Local-gov, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 35.0, 1, >50K
26.0, Private, 13.0, 0, Adm-clerical, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
53.0, State-gov, 16.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
23.0, Private, 9.0, 1, Sales, Not-in-family, Black, Male, 0.0, 0.0, 60.0, 1, <=50K
35.0, Private, 9.0, 1, Transport-moving, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
25.0, Private, 13.0, 0, Sales, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
52.0, Self-emp-not-inc, 10.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 32.0, 1, <=50K
31.0, Private, 10.0, 1, Exec-managerial, Wife, White, Female, 0.0, 0.0, 40.0, 1, <=50K
37.0, Private, 9.0, 1, Other-service, Unmarried, Black, Female, 0.0, 0.0, 35.0, 0, <=50K
48.0, Private, 10.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
50.0, Local-gov, 10.0, 0, Protective-serv, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 9.0, 1, Handlers-cleaners, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
24.0, Private, 9.0, 1, Other-service, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
57.0, Self-emp-not-inc, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 60.0, 1, <=50K
49.0, Self-emp-not-inc, 11.0, 0, Transport-moving, Not-in-family, White, Male, 0.0, 0.0, 48.0, 1, <=50K
23.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 40.0, 0, <=50K
20.0, Private, 10.0, 0, Sales, Not-in-family, Black, Female, 0.0, 0.0, 36.0, 1, <=50K
52.0, Local-gov, 9.0, 1, Other-service, Wife, Asian-Pac-Islander, Female, 0.0, 0.0, 40.0, 0, >50K
56.0, Private, 13.0, 1, Exec-managerial, Wife, Asian-Pac-Islander, Female, 7688.0, 0.0, 50.0, 1, >50K
57.0, Federal-gov, 14.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 60.0, 1, >50K
20.0, Private, 10.0, 0, Protective-serv, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
43.0, Private, 9.0, 0, Craft-repair, Not-in-family, White, Male, 0.0, 0.0, 35.0, 1, <=50K
41.0, Self-emp-inc, 15.0, 1, Prof-specialty, Husband, Asian-Pac-Islander, Male, 99999.0, 0.0, 50.0, 0, >50K
45.0, Private, 10.0, 0, Sales, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
36.0, Private, 9.0, 1, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 45.0, 0, <=50K
62.0, Federal-gov, 5.0, 0, Other-service, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
22.0, State-gov, 10.0, 0, Other-service, Own-child, White, Male, 0.0, 0.0, 45.0, 1, <=50K
24.0, Private, 10.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
19.0, Self-emp-not-inc, 9.0, 0, Tech-support, Own-child, White, Male, 0.0, 0.0, 20.0, 1, <=50K
20.0, ?, 9.0, 1, ?, Wife, White, Female, 0.0, 0.0, 40.0, 1, <=50K
32.0, Private, 13.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
44.0, Self-emp-not-inc, 10.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 45.0, 1, <=50K
53.0, Local-gov, 4.0, 1, Transport-moving, Husband, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
45.0, Private, 4.0, 1, Other-service, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 36.0, 0, <=50K
39.0, Private, 14.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 50.0, 1, >50K
55.0, Private, 14.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 25.0, 1, >50K
30.0, Private, 13.0, 0, Sales, Not-in-family, White, Male, 0.0, 0.0, 55.0, 1, <=50K
39.0, Federal-gov, 10.0, 1, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 40.0, 1, >50K
23.0, Local-gov, 9.0, 0, Protective-serv, Not-in-family, White, Male, 0.0, 0.0, 45.0, 1, <=50K
28.0, Self-emp-not-inc, 13.0, 0, Sales, Not-in-family, White, Female, 0.0, 0.0, 48.0, 1, <=50K
41.0, Private, 12.0, 0, Sales, Unmarried, White, Male, 0.0, 0.0, 40.0, 1, <=50K
35.0, Private, 9.0, 0, Machine-op-inspct, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
39.0, Private, 9.0, 0, Other-service, Not-in-family, White, Female, 0.0, 0.0, 25.0, 1, <=50K
29.0, Private, 13.0, 0, Tech-support, Unmarried, White, Female, 0.0, 0.0, 20.0, 1, <=50K
35.0, ?, 10.0, 0, ?, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
35.0, Private, 14.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 38.0, 0, <=50K
42.0, Private, 10.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
28.0, Private, 10.0, 0, Exec-managerial, Own-child, White, Female, 0.0, 0.0, 40.0, 0, <=50K
57.0, Private, 4.0, 0, Prof-specialty, Other-relative, White, Female, 0.0, 0.0, 20.0, 0, <=50K
59.0, ?, 9.0, 0, ?, Not-in-family, White, Female, 0.0, 0.0, 45.0, 1, <=50K
50.0, Private, 1.0, 1, Farming-fishing, Husband, Black, Male, 0.0, 0.0, 40.0, 0, <=50K
37.0, Self-emp-not-inc, 15.0, 1, Prof-specialty, Husband, White, Male, 7688.0, 0.0, 50.0, 1, >50K
20.0, Private, 9.0, 0, Machine-op-inspct, Other-relative, White, Male, 0.0, 0.0, 40.0, 1, <=50K
46.0, Self-emp-not-inc, 10.0, 1, Exec-managerial, Wife, White, Female, 0.0, 0.0, 50.0, 1, <=50K
28.0, Private, 10.0, 0, Tech-support, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
32.0, Private, 10.0, 0, Other-service, Not-in-family, White, Female, 0.0, 0.0, 38.0, 1, <=50K
20.0, Private, 5.0, 0, Transport-moving, Unmarried, White, Male, 0.0, 0.0, 35.0, 1, <=50K
38.0, Local-gov, 13.0, 1, Protective-serv, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
36.0, Private, 13.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 45.0, 0, <=50K
30.0, Private, 14.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 16.0, 1, <=50K
35.0, Private, 14.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 45.0, 1, >50K
30.0, State-gov, 14.0, 0, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 0.0, 0.0, 50.0, 1, <=50K
56.0, Private, 5.0, 0, Protective-serv, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 5.0, 1, Farming-fishing, Not-in-family, White, Male, 0.0, 0.0, 40.0, 0, <=50K
64.0, Private, 2.0, 1, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 40.0, 0, <=50K
21.0, ?, 10.0, 0, ?, Own-child, White, Female, 0.0, 0.0, 20.0, 1, <=50K
23.0, Private, 6.0, 1, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female, 0.0, 0.0, 40.0, 0, <=50K
49.0, Private, 9.0, 1, Craft-repair, Wife, Black, Female, 0.0, 0.0, 40.0, 1, <=50K
37.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 0, >50K
52.0, ?, 13.0, 0, ?, Not-in-family, White, Female, 0.0, 0.0, 8.0, 1, <=50K
55.0, Private, 9.0, 1, Other-service, Other-relative, White, Female, 0.0, 0.0, 33.0, 1, <=50K
38.0, Federal-gov, 10.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 45.0, 1, >50K
23.0, Private, 9.0, 0, Sales, Not-in-family, White, Female, 0.0, 0.0, 30.0, 1, <=50K
31.0, Private, 10.0, 0, Adm-clerical, Unmarried, Black, Female, 0.0, 0.0, 39.0, 1, <=50K
25.0, Private, 13.0, 0, Craft-repair, Own-child, White, Male, 0.0, 0.0, 30.0, 0, <=50K
50.0, Private, 9.0, 0, Handlers-cleaners, Not-in-family, White, Male, 0.0, 1980.0, 38.0, 1, <=50K
34.0, Private, 9.0, 1, Machine-op-inspct, Husband, Black, Male, 0.0, 0.0, 40.0, 0, <=50K
24.0, Private, 13.0, 0, Sales, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
27.0, Private, 13.0, 0, Tech-support, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
31.0, Self-emp-not-inc, 6.0, 0, Transport-moving, Not-in-family, White, Male, 0.0, 2205.0, 60.0, 1, <=50K
77.0, ?, 10.0, 1, ?, Husband, White, Male, 0.0, 0.0, 8.0, 1, <=50K
21.0, Private, 13.0, 0, Adm-clerical, Own-child, Black, Female, 0.0, 0.0, 38.0, 1, <=50K
18.0, Private, 10.0, 0, Sales, Own-child, White, Male, 0.0, 0.0, 10.0, 1, <=50K
25.0, Private, 9.0, 0, Craft-repair, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
57.0, Private, 11.0, 0, Craft-repair, Not-in-family, Black, Male, 0.0, 0.0, 40.0, 0, <=50K
25.0, Private, 10.0, 0, Prof-specialty, Unmarried, White, Female, 0.0, 0.0, 60.0, 1, <=50K
62.0, Self-emp-not-inc, 10.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 20.0, 1, <=50K
35.0, Private, 11.0, 1, Tech-support, Husband, White, Male, 7298.0, 0.0, 48.0, 1, >50K
30.0, Private, 9.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
47.0, Private, 9.0, 0, Other-service, Not-in-family, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
25.0, Private, 12.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
18.0, Private, 9.0, 0, Machine-op-inspct, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
61.0, Private, 9.0, 1, Other-service, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
42.0, Self-emp-not-inc, 15.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
50.0, Private, 14.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
61.0, Private, 2.0, 1, Handlers-cleaners, Husband, White, Male, 0.0, 0.0, 40.0, 0, <=50K
50.0, Private, 9.0, 1, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
23.0, ?, 9.0, 0, ?, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
27.0, ?, 10.0, 0, ?, Unmarried, White, Female, 0.0, 0.0, 25.0, 1, <=50K
51.0, Private, 9.0, 1, Sales, Husband, White, Male, 0.0, 1977.0, 50.0, 1, >50K
37.0, Private, 10.0, 1, Tech-support, Husband, White, Male, 0.0, 0.0, 39.0, 1, <=50K
25.0, Private, 13.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 35.0, 1, <=50K
38.0, Private, 13.0, 1, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 42.0, 1, >50K
60.0, Federal-gov, 15.0, 1, Prof-specialty, Husband, Asian-Pac-Islander, Male, 99999.0, 0.0, 60.0, 0, >50K
66.0, ?, 9.0, 1, ?, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
74.0, Private, 10.0, 1, Sales, Husband, White, Male, 6418.0, 0.0, 24.0, 1, >50K
37.0, Private, 14.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 70.0, 1, <=50K
26.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
40.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 15024.0, 0.0, 99.0, 1, >50K
47.0, Local-gov, 16.0, 0, Prof-specialty, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
35.0, Private, 6.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 36.0, 1, <=50K
43.0, Local-gov, 14.0, 0, Prof-specialty, Unmarried, Black, Female, 0.0, 0.0, 40.0, 1, <=50K
31.0, Self-emp-inc, 9.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
35.0, Self-emp-inc, 10.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
30.0, Private, 10.0, 0, Sales, Unmarried, White, Female, 0.0, 0.0, 65.0, 0, <=50K
22.0, Private, 9.0, 0, Other-service, Own-child, White, Female, 0.0, 0.0, 20.0, 1, <=50K
36.0, Private, 4.0, 0, Machine-op-inspct, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
19.0, Private, 10.0, 0, Sales, Own-child, White, Female, 0.0, 0.0, 34.0, 1, <=50K
36.0, Private, 9.0, 0, Craft-repair, Not-in-family, White, Male, 0.0, 0.0, 75.0, 1, <=50K
29.0, State-gov, 13.0, 0, Protective-serv, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
30.0, Local-gov, 10.0, 0, Protective-serv, Not-in-family, White, Female, 3325.0, 0.0, 40.0, 1, <=50K
31.0, Private, 9.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 40.0, 1, <=50K
27.0, Private, 9.0, 0, Sales, Own-child, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
44.0, ?, 11.0, 1, ?, Husband, Asian-Pac-Islander, Male, 0.0, 2129.0, 40.0, 0, <=50K
33.0, Private, 10.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 0, >50K
36.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
43.0, Private, 13.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
46.0, Self-emp-not-inc, 5.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
24.0, Private, 9.0, 0, Adm-clerical, Other-relative, Black, Female, 0.0, 0.0, 20.0, 1, <=50K
42.0, Private, 10.0, 0, Transport-moving, Not-in-family, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
55.0, State-gov, 10.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 43.0, 1, >50K
61.0, Self-emp-not-inc, 11.0, 0, Craft-repair, Unmarried, White, Female, 0.0, 0.0, 40.0, 0, <=50K
20.0, Private, 9.0, 0, Sales, Own-child, White, Female, 0.0, 0.0, 10.0, 0, <=50K
60.0, Private, 10.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
24.0, Private, 11.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 40.0, 1, <=50K
33.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 51.0, 1, <=50K
67.0, Self-emp-not-inc, 10.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 50.0, 1, >50K
34.0, Private, 9.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 50.0, 1, <=50K
34.0, Private, 10.0, 1, Other-service, Wife, White, Female, 0.0, 0.0, 30.0, 1, <=50K
38.0, Private, 10.0, 0, Prof-specialty, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
50.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
45.0, Private, 10.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 46.0, 1, <=50K
55.0, ?, 9.0, 0, ?, Unmarried, White, Female, 0.0, 0.0, 35.0, 0, <=50K
18.0, Private, 9.0, 0, Sales, Own-child, White, Male, 0.0, 0.0, 35.0, 1, <=50K
18.0, ?, 7.0, 0, ?, Own-child, White, Female, 0.0, 0.0, 25.0, 1, <=50K
40.0, Private, 11.0, 0, Adm-clerical, Unmarried, White, Female, 0.0, 0.0, 30.0, 1, <=50K
37.0, Self-emp-inc, 10.0, 0, Craft-repair, Unmarried, White, Female, 0.0, 0.0, 40.0, 0, <=50K
35.0, Private, 6.0, 1, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 45.0, 1, <=50K
22.0, Private, 10.0, 0, Prof-specialty, Own-child, White, Female, 2176.0, 0.0, 25.0, 1, <=50K
33.0, Private, 9.0, 0, Craft-repair, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
42.0, Local-gov, 10.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 40.0, 1, >50K
36.0, Private, 10.0, 0, Machine-op-inspct, Own-child, Other, Male, 0.0, 0.0, 40.0, 0, <=50K
46.0, Private, 9.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 40.0, 1, <=50K
39.0, Private, 9.0, 0, Adm-clerical, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
18.0, Private, 10.0, 0, Other-service, Own-child, Asian-Pac-Islander, Male, 0.0, 0.0, 16.0, 1, <=50K
52.0, Private, 10.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 60.0, 0, >50K
36.0, Private, 6.0, 0, Other-service, Unmarried, White, Female, 0.0, 0.0, 35.0, 1, <=50K
21.0, ?, 10.0, 0, ?, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
19.0, Private, 7.0, 0, Other-service, Own-child, White, Female, 0.0, 0.0, 15.0, 0, <=50K
66.0, Private, 10.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, >50K
32.0, ?, 9.0, 0, ?, Unmarried, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
17.0, ?, 5.0, 0, ?, Own-child, White, Male, 0.0, 0.0, 5.0, 1, <=50K
37.0, Private, 11.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 45.0, 1, <=50K
52.0, Self-emp-not-inc, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 50.0, 0, >50K
21.0, ?, 10.0, 0, ?, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
44.0, Private, 14.0, 0, Exec-managerial, Not-in-family, White, Male, 0.0, 2559.0, 40.0, 1, >50K
24.0, Private, 13.0, 0, Sales, Not-in-family, White, Male, 0.0, 1876.0, 65.0, 1, <=50K
19.0, ?, 10.0, 0, ?, Own-child, White, Male, 0.0, 0.0, 18.0, 1, <=50K
31.0, Private, 11.0, 0, Adm-clerical, Not-in-family, Black, Male, 0.0, 0.0, 45.0, 1, <=50K
42.0, Self-emp-inc, 10.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
35.0, Private, 13.0, 1, Prof-specialty, Wife, White, Female, 0.0, 0.0, 15.0, 1, >50K
35.0, Self-emp-inc, 11.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 55.0, 1, <=50K
26.0, State-gov, 15.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 80.0, 1, <=50K
23.0, Private, 13.0, 0, Prof-specialty, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
38.0, Private, 13.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
39.0, Local-gov, 13.0, 1, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 40.0, 0, >50K
35.0, Private, 13.0, 1, Tech-support, Husband, White, Male, 0.0, 1887.0, 40.0, 1, >50K
40.0, Private, 9.0, 1, Craft-repair, Wife, White, Female, 0.0, 0.0, 45.0, 1, <=50K
64.0, Private, 15.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 2444.0, 40.0, 1, >50K
66.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 20051.0, 0.0, 40.0, 1, >50K
56.0, Private, 11.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 48.0, 1, >50K
26.0, Private, 6.0, 1, Handlers-cleaners, Husband, White, Male, 0.0, 0.0, 38.0, 1, <=50K
38.0, ?, 10.0, 0, ?, Not-in-family, White, Female, 0.0, 0.0, 25.0, 1, <=50K
44.0, Private, 3.0, 1, Craft-repair, Not-in-family, White, Male, 0.0, 0.0, 45.0, 1, <=50K
34.0, Self-emp-inc, 13.0, 0, Exec-managerial, Unmarried, Black, Male, 15020.0, 0.0, 50.0, 1, >50K
54.0, Private, 10.0, 0, Tech-support, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
22.0, Private, 10.0, 0, Other-service, Own-child, White, Female, 0.0, 0.0, 10.0, 1, <=50K
64.0, Private, 12.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
22.0, Private, 9.0, 0, Sales, Own-child, White, Female, 0.0, 0.0, 20.0, 1, <=50K
40.0, Self-emp-inc, 13.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 55.0, 1, >50K
52.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
20.0, ?, 9.0, 0, ?, Other-relative, White, Male, 0.0, 0.0, 40.0, 1, <=50K
49.0, Private, 10.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
42.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
48.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 50.0, 1, >50K
27.0, Private, 8.0, 0, Craft-repair, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 7.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
22.0, Private, 9.0, 0, Sales, Not-in-family, White, Female, 0.0, 0.0, 28.0, 1, <=50K
36.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 45.0, 1, <=50K
31.0, Private, 9.0, 0, Other-service, Own-child, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
32.0, Private, 9.0, 0, Craft-repair, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
48.0, Private, 10.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
40.0, Private, 12.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
40.0, Private, 10.0, 1, Craft-repair, Husband, White, Male, 7298.0, 0.0, 50.0, 1, >50K
35.0, Self-emp-not-inc, 15.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
35.0, Private, 9.0, 0, Other-service, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
17.0, ?, 10.0, 0, ?, Own-child, White, Male, 0.0, 0.0, 15.0, 1, <=50K
28.0, Private, 13.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 9.0, 0, Transport-moving, Unmarried, Black, Male, 1506.0, 0.0, 80.0, 1, <=50K
37.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Female, 2174.0, 0.0, 50.0, 1, <=50K
46.0, Private, 9.0, 1, Machine-op-inspct, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 40.0, 0, >50K
17.0, Private, 6.0, 0, Sales, Own-child, White, Female, 0.0, 0.0, 22.0, 1, <=50K
47.0, Private, 9.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 55.0, 1, >50K
43.0, Private, 10.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
39.0, Local-gov, 10.0, 1, Exec-managerial, Husband, Amer-Indian-Eskimo, Male, 0.0, 1485.0, 40.0, 1, >50K
37.0, Private, 9.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 40.0, 0, <=50K
23.0, Private, 9.0, 1, Sales, Wife, Black, Female, 0.0, 0.0, 35.0, 1, <=50K
41.0, Private, 9.0, 0, Sales, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
22.0, Private, 9.0, 0, Other-service, Not-in-family, Black, Female, 0.0, 0.0, 35.0, 1, <=50K
30.0, ?, 13.0, 1, ?, Not-in-family, White, Female, 0.0, 0.0, 35.0, 1, <=50K
39.0, Private, 16.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 2559.0, 60.0, 0, >50K
65.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
61.0, Local-gov, 13.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 63.0, 1, >50K
20.0, Private, 8.0, 0, Other-service, Not-in-family, White, Male, 0.0, 0.0, 30.0, 0, <=50K
37.0, Local-gov, 9.0, 0, Other-service, Unmarried, White, Female, 2977.0, 0.0, 55.0, 1, <=50K
39.0, Private, 13.0, 0, Sales, Not-in-family, White, Male, 0.0, 0.0, 60.0, 1, <=50K
27.0, Private, 9.0, 0, Other-service, Not-in-family, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
